"No.11 500行の仕様書より1行のコード / アリソン・ランダル",http://xn--97-273ae6a4irb6e2h2ia0cn0g4a2txf4ah5wo4af612j.com/%E3%82%A8%E3%83%83%E3%82%BB%E3%82%A4/500%E8%A1%8C%E3%81%AE%E4%BB%95%E6%A7%98%E6%9B%B8%E3%82%88%E3%82%8A1%E8%A1%8C%E3%81%AE%E3%82%B3%E3%83%BC%E3%83%88%E3%82%99
"No.12 フリーサイズのソリューションを求めるな / ランディ・スタッフォード",http://xn--97-273ae6a4irb6e2h2ia0cn0g4a2txf4ah5wo4af612j.com/%E3%82%A8%E3%83%83%E3%82%BB%E3%82%A4/%E3%83%95%E3%83%AA%E3%83%BC%E3%82%B5%E3%82%A4%E3%82%B9%E3%82%99%E3%81%AE%E3%82%BD%E3%83%AA%E3%83%A5%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%82%92%E6%B1%82%E3%82%81%E3%82%8B%E3%81%AA
"No.13 パフォーマンスの検討に早過ぎるということはない / レベッカ・パーソンズ",http://xn--97-273ae6a4irb6e2h2ia0cn0g4a2txf4ah5wo4af612j.com/%E3%82%A8%E3%83%83%E3%82%BB%E3%82%A4/%E3%83%8F%E3%82%9A%E3%83%95%E3%82%A9%E3%83%BC%E3%83%9E%E3%83%B3%E3%82%B9%E3%81%AE%E6%A4%9C%E8%A8%8E%E3%81%AB%E6%97%A9%E9%81%8E%E3%81%8D%E3%82%99%E3%82%8B%E3%81%A8%E3%81%84%E3%81%86%E3%81%93%E3%81%A8%E3%81%AF%E3%81%AA%E3%81%84
"No.14 アーキテクチャーとはバランスをとること / ランディ・スタッフォード",http://xn--97-273ae6a4irb6e2h2ia0cn0g4a2txf4ah5wo4af612j.com/%E3%82%A8%E3%83%83%E3%82%BB%E3%82%A4/%E3%82%A2%E3%83%BC%E3%82%AD%E3%83%86%E3%82%AF%E3%83%81%E3%83%A3%E3%83%BC%E3%81%A8%E3%81%AF%E3%83%8F%E3%82%99%E3%83%A9%E3%83%B3%E3%82%B9%E3%82%92%E3%81%A8%E3%82%8B%E3%81%93%E3%81%A8
"No.15 犯罪的なコミットエンドランを防ぐには / ニクラス・ニルソン",http://xn--97-273ae6a4irb6e2h2ia0cn0g4a2txf4ah5wo4af612j.com/%E3%82%A8%E3%83%83%E3%82%BB%E3%82%A4/%E7%8A%AF%E7%BD%AA%E7%9A%84%E3%81%AA%E3%82%B3%E3%83%9F%E3%83%83%E3%83%88%E3%82%A8%E3%83%B3%E3%83%88%E3%82%99%E3%83%A9%E3%83%B3%E3%82%92%E9%98%B2%E3%81%8F%E3%82%99%E3%81%AB%E3%81%AF
"No.16 選択肢を1つに絞らないための現実的な方法 / キース・ブレイウェスト",http://xn--97-273ae6a4irb6e2h2ia0cn0g4a2txf4ah5wo4af612j.com/%E3%82%A8%E3%83%83%E3%82%BB%E3%82%A4/%E9%81%B8%E6%8A%9E%E8%82%A2%E3%82%921%E3%81%A4%E3%81%AB%E7%B5%9E%E3%82%89%E3%81%AA%E3%81%84%E3%81%9F%E3%82%81%E3%81%AE%E7%8F%BE%E5%AE%9F%E7%9A%84%E3%81%AA%E6%96%B9%E6%B3%95
"No.17 ビジネスサイドに主導権を渡せ / デーブ・ミュアヘッド",http://xn--97-273ae6a4irb6e2h2ia0cn0g4a2txf4ah5wo4af612j.com/%E3%82%A8%E3%83%83%E3%82%BB%E3%82%A4/%E3%83%92%E3%82%99%E3%82%B7%E3%82%99%E3%83%8D%E3%82%B9%E3%82%B5%E3%82%A4%E3%83%88%E3%82%99%E3%81%AB%E4%B8%BB%E5%B0%8E%E6%A8%A9%E3%82%92%E6%B8%A1%E3%81%9B
"No.18 一般性より単純性、再利用よりもまず最初に使えること / ケブリン・ヘニー",http://xn--97-273ae6a4irb6e2h2ia0cn0g4a2txf4ah5wo4af612j.com/%E3%82%A8%E3%83%83%E3%82%BB%E3%82%A4/%E4%B8%80%E8%88%AC%E6%80%A7%E3%82%88%E3%82%8A%E5%8D%98%E7%B4%94%E6%80%A7%E3%80%81%E5%86%8D%E5%88%A9%E7%94%A8%E3%82%88%E3%82%8A%E3%82%82%E3%81%BE%E3%81%99%E3%82%99%E6%9C%80%E5%88%9D%E3%81%AB%E4%BD%BF%E3%81%88%E3%82%8B%E3%81%93%E3%81%A8
"No.19 アーキテクトは手を汚さなければならない / ジョン・デービーズ",http://xn--97-273ae6a4irb6e2h2ia0cn0g4a2txf4ah5wo4af612j.com/%E3%82%A8%E3%83%83%E3%82%BB%E3%82%A4/%E3%82%A2%E3%83%BC%E3%82%AD%E3%83%86%E3%82%AF%E3%83%88%E3%81%AF%E6%89%8B%E3%82%92%E6%B1%9A%E3%81%95%E3%81%AA%E3%81%91%E3%82%8C%E3%81%AF%E3%82%99%E3%81%AA%E3%82%89%E3%81%AA%E3%81%84
"No.20 継続的にインテグレーションを実行せよ / デビッド・バートレット",http://xn--97-273ae6a4irb6e2h2ia0cn0g4a2txf4ah5wo4af612j.com/%E3%82%A8%E3%83%83%E3%82%BB%E3%82%A4/%E7%B6%99%E7%B6%9A%E7%9A%84%E3%81%AB%E3%82%A4%E3%83%B3%E3%83%86%E3%82%AF%E3%82%99%E3%83%AC%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%82%92%E5%AE%9F%E8%A1%8C%E3%81%9B%E3%82%88
