16,"コメントについてのコメント",http://xn--97-273ae6a4irb6e2hsoiozc2g4b8082p.com/%E3%82%A8%E3%83%83%E3%82%BB%E3%82%A4/%E3%82%B3%E3%83%A1%E3%83%B3%E3%83%88%E3%81%AB%E3%81%A4%E3%81%84%E3%81%A6%E3%81%AE%E3%82%B3%E3%83%A1%E3%83%B3%E3%83%88
17,"コードに書けないことのみをコメントにする",http://xn--97-273ae6a4irb6e2hsoiozc2g4b8082p.com/%E3%82%A8%E3%83%83%E3%82%BB%E3%82%A4/%E3%82%B3%E3%83%BC%E3%83%89%E3%81%AB%E6%9B%B8%E3%81%91%E3%81%AA%E3%81%84%E3%81%93%E3%81%A8%E3%81%AE%E3%81%BF%E3%82%92%E3%82%B3%E3%83%A1%E3%83%B3%E3%83%88%E3%81%AB%E3%81%99%E3%82%8B
18,"学び続ける姿勢",http://xn--97-273ae6a4irb6e2hsoiozc2g4b8082p.com/%E3%82%A8%E3%83%83%E3%82%BB%E3%82%A4/%E5%AD%A6%E3%81%B3%E7%B6%9A%E3%81%91%E3%82%8B%E5%A7%BF%E5%8B%A2
19,"誰にとっての「利便性」か",http://xn--97-273ae6a4irb6e2hsoiozc2g4b8082p.com/%E3%82%A8%E3%83%83%E3%82%BB%E3%82%A4/%E8%AA%B0%E3%81%AB%E3%81%A8%E3%81%A3%E3%81%A6%E3%81%AE%E3%80%8C%E5%88%A9%E4%BE%BF%E6%80%A7%E3%80%8D%E3%81%8B
20,"すばやくデプロイ、こまめにデプロイ",http://xn--97-273ae6a4irb6e2hsoiozc2g4b8082p.com/%E3%82%A8%E3%83%83%E3%82%BB%E3%82%A4/%E3%81%99%E3%81%B0%E3%82%84%E3%81%8F%E3%83%87%E3%83%97%E3%83%AD%E3%82%A4%E3%80%81%E3%81%93%E3%81%BE%E3%82%81%E3%81%AB%E3%83%87%E3%83%97%E3%83%AD%E3%82%A4
21,"技術的例外とビジネス例外を明確に区別する",http://xn--97-273ae6a4irb6e2hsoiozc2g4b8082p.com/%E3%82%A8%E3%83%83%E3%82%BB%E3%82%A4/%E6%8A%80%E8%A1%93%E7%9A%84%E4%BE%8B%E5%A4%96%E3%81%A8%E3%83%93%E3%82%B8%E3%83%8D%E3%82%B9%E4%BE%8B%E5%A4%96%E3%82%92%E6%98%8E%E7%A2%BA%E3%81%AB%E5%8C%BA%E5%88%A5%E3%81%99%E3%82%8B
22,"1万時間の訓練",http://xn--97-273ae6a4irb6e2hsoiozc2g4b8082p.com/%E3%82%A8%E3%83%83%E3%82%BB%E3%82%A4/1%E4%B8%87%E6%99%82%E9%96%93%E3%81%AE%E8%A8%93%E7%B7%B4
23,"ドメイン特化言語",http://xn--97-273ae6a4irb6e2hsoiozc2g4b8082p.com/%E3%82%A8%E3%83%83%E3%82%BB%E3%82%A4/%E3%83%89%E3%83%A1%E3%82%A4%E3%83%B3%E7%89%B9%E5%8C%96%E8%A8%80%E8%AA%9E
24,"変更を恐れない",http://xn--97-273ae6a4irb6e2hsoiozc2g4b8082p.com/%E3%82%A8%E3%83%83%E3%82%BB%E3%82%A4/%E5%A4%89%E6%9B%B4%E3%82%92%E6%81%90%E3%82%8C%E3%81%AA%E3%81%84
25,"見られて恥ずかしいデータは使わないこと",http://xn--97-273ae6a4irb6e2hsoiozc2g4b8082p.com/%E3%82%A8%E3%83%83%E3%82%BB%E3%82%A4/%E8%A6%8B%E3%82%89%E3%82%8C%E3%81%A6%E6%81%A5%E3%81%9A%E3%81%8B%E3%81%97%E3%81%84%E3%83%87%E3%83%BC%E3%82%BF%E3%81%AF%E4%BD%BF%E3%82%8F%E3%81%AA%E3%81%84%E3%81%93%E3%81%A8
26,"言語だけでなく文化も学ぶ",http://xn--97-273ae6a4irb6e2hsoiozc2g4b8082p.com/%E3%82%A8%E3%83%83%E3%82%BB%E3%82%A4/%E8%A8%80%E8%AA%9E%E3%81%A0%E3%81%91%E3%81%A7%E3%81%AA%E3%81%8F%E6%96%87%E5%8C%96%E3%82%82%E5%AD%A6%E3%81%B6
27,"死ぬはずのプログラムを無理に生かしておいてはいけない",http://xn--97-273ae6a4irb6e2hsoiozc2g4b8082p.com/%E3%82%A8%E3%83%83%E3%82%BB%E3%82%A4/%E6%AD%BB%E3%81%AC%E3%81%AF%E3%81%9A%E3%81%AE%E3%83%97%E3%83%AD%E3%82%B0%E3%83%A9%E3%83%A0%E3%82%92%E7%84%A1%E7%90%86%E3%81%AB%E7%94%9F%E3%81%8B%E3%81%97%E3%81%A6%E3%81%8A%E3%81%84%E3%81%A6%E3%81%AF%E3%81%84%E3%81%91%E3%81%AA%E3%81%84
28,"「魔法」に頼りすぎてはいけない",http://xn--97-273ae6a4irb6e2hsoiozc2g4b8082p.com/%E3%82%A8%E3%83%83%E3%82%BB%E3%82%A4/%E3%80%8C%E9%AD%94%E6%B3%95%E3%80%8D%E3%81%AB%E9%A0%BC%E3%82%8A%E3%81%99%E3%81%8E%E3%81%A6%E3%81%AF%E3%81%84%E3%81%91%E3%81%AA%E3%81%84
29,"DRY原則",http://xn--97-273ae6a4irb6e2hsoiozc2g4b8082p.com/%E3%82%A8%E3%83%83%E3%82%BB%E3%82%A4/DRY%E5%8E%9F%E5%89%87
30,"そのコードに触れてはならない！",http://xn--97-273ae6a4irb6e2hsoiozc2g4b8082p.com/%E3%82%A8%E3%83%83%E3%82%BB%E3%82%A4/%E3%81%9D%E3%81%AE%E3%82%B3%E3%83%BC%E3%83%89%E3%81%AB%E8%A7%A6%E3%82%8C%E3%81%A6%E3%81%AF%E3%81%AA%E3%82%89%E3%81%AA%E3%81%84%EF%BC%81
